id,name,price,category,image
0Z1203,Perfume Corporal En Stick Jelly Ole 5 G,31400,Novedades,images/0Z1203.jpg
0Z1202,Splash Corporal Ole Sabores Colombianos 150..,27900,Novedades,images/0Z1202.jpg
0Z1201,Productos Nuevos Mantequilla Corporal Hidratante Ole 150 Ml,34900,Novedades,images/0Z1201.jpg
AN0323,Perfume Capilar Nueva Presentacion Click H..,39900,Novedades,images/AN0323.jpg
AZ0807,Rubor Duo Crema Y Polvo Vibrant Enchante Ec..,32000,Novedades,images/AZ0807.jpg
AZ0804,Rubor Halo Enchante Ec001,20000,Novedades,images/AZ0804.jpg
AZ0601,Lip Gloss Vibrant Enchante Ec021,25000,Novedades,images/AZ0601.jpg
AZ0806,Base Liquida Radiance Skin Enchante Ec004,25500,Novedades,images/AZ0806.jpg
AZ0803,Prebase Glow Booster Enchante Ec006,29500,Novedades,images/AZ0803.jpg
AZ0808,Rubor Cremoso Velvet Glow Enchante Ec009,30000,Novedades,images/AZ0808.jpg
AE1005,Kit Rutina Corporal Girly,100000,Novedades,images/AE1005.jpg
AZ0802,Corrector Flawless Touch Enchante Ec024,31000,Novedades,images/AZ0802.jpg
AZ0801,Polvo Suelto Flawless Bake Enchante Ec026,36000,Novedades,images/AZ0801.jpg
AE0424,Serum Facial Con Aloe Vera Girly,38000,Novedades,images/AE0424.jpg
AE0609,Kit Lip Combo Lip Liner Y Lip Balm Girly,41500,Novedades,images/AE0609.jpg
AE1004,Gel De Ducha Hidratante Girly,50000,Novedades,images/AE1004.jpg
AE1003,Aceite Corporal Con Glittery Girly,,Novedades,images/AE1003.jpg
AE0423,Limpiador Facial Con Aloe Vera Girly,,Novedades,images/AE0423.jpg
AE0421,Tonico Facial Con Aloe Vera Girly,,Novedades,images/AE0421.jpg
0D1233,Perfume En Barra Choco Vibes Purpure,,Novedades,images/0D1233.jpg
010107,Encrespador Miis Cosmetics Lash Precision M..,10600,Accesorios,images/010107.jpg
04011Y,He001R Encrespador Golden Rosa Atenea,12300,Accesorios,images/04011Y.jpg
04019O,Base Para Mezclar Profesional Atenea,17200,Accesorios,images/04019O.jpg
04019Z,Toalla Rollo Ref Tm1 Atenea,37000,Accesorios,images/04019Z.jpg
04019S,He113-1 Encrespador Mango Corazon (Rosa) Lula,9200,Accesorios,images/04019S.jpg
04019T,He113-2 Encrespador Mango Corazon (Lila) Lula,9200,Accesorios,images/04019T.jpg
04019W,He001P Encrespador Mango Rosado (Focus) Ate..,11300,Accesorios,images/04019W.jpg
0401AB,Encrespador Eyelash Curler He107B Atenea,9600,Accesorios,images/0401AB.jpg
0401AD,He001T Encrespador Arcoiris Focus Atenea,11300,Accesorios,images/0401AD.jpg
0401AE,He001Y Encrespador Mango Verde Atenea,9200,Accesorios,images/0401AE.jpg
0401AI,Sacapuntas Para Lápices De Madera Y Plást..,20800,Accesorios,images/0401AI.jpg
0401AK,Cosmetiquera Atenea Kc Zt01 Negra,70000,Accesorios,images/0401AK.jpg
